Litterbag,Litter,Rebar,Harvest,LitterHarvest,Days,DO.mg.L,DO.percent,Cond.uS.cm.,Temp.C,pH,CDOM.ppb,Abundance,Richness,Shannons.H,Evenness,Total.log,Insect.log,Nonins.log,DiChi.log,Ephem.log,Plec.log,Trich.log,DiChi,Ephemeroptera,Plecoptera,Trichoptera,CF.log,CG.log,PA.log,PH.log,PR.log,SC.log,SH.log,CF,CG,PA,PH,PR,SC,SH,AFDM
74,Catkin,3,2,C2,22,5.52,54.5,349.25,14.7,6.98,23.895,64,8,1.37,0.66,1.81,1.40,1.61,1.15,0.48,0.85,0.60,20,3,9,5,1.61,1.20,0.00,0.48,0.00,0.00,0.90,63,23,0,3,0,0,11,0.51
87,Leaf,5,1,L1,7,6.12,59.95,350.5,14.1,7.01,13.5,36,5,0.97,0.60,1.57,1.26,1.30,0.48,1.00,0.85,0.00,6,25,17,0,1.28,1.08,0.30,0.00,0.00,0.00,0.85,50,31,3,0,0,0,17,0.50
109,Leaf,2,1,L1,7,6.12,59.95,350.5,14.1,7.01,13.5,28,4,0.70,0.50,1.46,1.00,1.30,0.30,0.78,0.60,0.00,4,18,11,0,1.30,0.85,0.00,0.00,0.00,0.00,0.60,68,21,0,0,0,0,11,0.44
120,Catkin,4,2,C2,22,5.52,54.5,349.25,14.7,6.98,23.895,61,9,1.28,0.58,1.79,1.59,1.38,1.26,0.00,0.95,1.04,28,0,13,16,1.36,1.26,0.30,0.85,0.60,0.00,1.11,36,28,2,10,5,0,20,0.53
125,Catkin,1,2,C2,22,5.52,54.5,349.25,14.7,6.98,23.895,151,12,1.64,0.66,2.18,1.74,1.99,1.26,1.00,1.11,1.15,11,6,8,9,1.98,1.43,0.48,0.90,0.48,0.30,1.28,63,17,1,5,1,1,12,0.46
151,Catkin,2,1,C1,7,6.12,59.95,350.5,14.1,7.01,13.5,120,6,1.03,0.57,2.08,1.38,1.99,0.48,1.08,1.04,0.00,2,9,8,0,1.99,1.15,0.00,0.00,0.00,0.00,1.04,81,11,0,0,0,0,8,0.60
157,Leaf,2,2,L2,22,5.52,54.5,349.25,14.7,6.98,23.895,23,8,0.63,0.30,1.38,1.30,0.70,0.85,0.48,0.90,0.60,26,9,30,13,0.70,0.95,0.00,0.60,0.30,0.00,0.90,17,35,0,13,4,0,30,0.46
175,Leaf,1,1,L1,7,6.12,59.95,350.5,14.1,7.01,13.5,8,5,0.26,0.16,0.90,0.78,0.48,0.30,0.00,0.60,0.30,14,0,43,14,0.48,0.30,0.00,0.00,0.00,0.00,0.70,29,14,0,0,0,0,57,0.48
177,Leaf,4,2,L2,22,5.52,54.5,349.25,14.7,6.98,23.895,45,9,0.81,0.37,1.66,1.59,0.90,1.40,0.30,1.08,0.30,53,2,24,2,0.48,1.41,0.70,0.30,0.48,0.00,1.08,4,56,9,2,4,0,24,0.44
198,Leaf,2,3,L3,37,5.99,58.85,438.2,13.65,7.09,22.195,22,6,0.48,0.27,1.36,1.32,0.48,0.70,0.48,0.30,1.15,18,9,5,59,0.00,0.85,0.48,0.78,0.00,0.00,1.00,0,27,9,23,0,0,41,0.45
244,Catkin,2,3,C3,37,5.99,58.85,438.2,13.65,7.09,22.195,76,10,0.98,0.42,1.89,1.54,1.63,0.78,1.00,0.70,1.23,7,12,5,21,1.61,1.18,0.48,1.04,0.00,0.00,1.04,53,18,3,13,0,0,13,0.48
250,Catkin,5,3,C3,37,5.99,58.85,438.2,13.65,7.09,22.195,31,7,0.53,0.27,1.51,1.26,1.18,0.90,0.60,0.60,0.70,23,10,10,13,1.18,1.04,0.00,0.60,0.00,0.00,0.70,45,32,0,10,0,0,13,0.42
262,Catkin,2,2,C2,22,5.52,54.5,349.25,14.7,6.98,23.895,86,10,1.01,0.44,1.94,1.54,1.72,0.95,0.90,0.48,1.23,9,8,2,19,1.70,1.20,0.60,0.85,0.30,0.00,1.11,57,17,3,7,1,0,14,0.53
269,Catkin,5,2,C2,22,5.52,54.5,349.25,14.7,6.98,23.895,103,9,0.90,0.41,2.02,1.40,1.90,0.85,0.90,0.90,0.70,6,7,7,4,1.90,1.15,0.00,0.30,0.00,0.30,1.04,76,13,0,1,0,1,10,0.48
283,Leaf,5,3,L3,37,5.99,58.85,438.2,13.65,7.09,22.195,11,6,0.22,0.12,1.08,0.95,0.60,0.48,0.60,0.30,0.30,18,27,9,9,0.60,0.78,0.00,0.30,0.30,0.00,0.30,27,45,0,9,9,0,9,0.43
297,Catkin,5,1,C1,7,6.12,59.95,350.5,14.1,7.01,13.5,106,6,0.88,0.49,2.03,1.97,1.18,0.95,0.85,1.89,0.48,8,6,72,2,1.18,1.18,0.00,0.00,0.00,0.00,1.90,13,13,0,0,0,0,74,0.58
311,Catkin,1,1,C1,7,6.12,59.95,350.5,14.1,7.01,13.5,109,6,0.80,0.44,2.04,1.40,1.93,1.15,0.30,1.04,0.00,12,1,9,0,1.93,1.18,0.00,0.00,0.00,0.00,1.04,78,13,0,0,0,0,9,0.64
316,Leaf,1,3,L3,37,5.99,58.85,438.2,13.65,7.09,22.195,40,11,0.57,0.24,1.61,1.56,0.78,0.70,0.30,0.95,1.32,10,3,20,50,0.60,0.78,0.30,1.23,0.48,0.30,1.11,8,13,3,40,5,3,30,0.45
346,Catkin,4,1,C1,7,6.12,59.95,350.5,14.1,7.01,13.5,141,8,0.93,0.44,2.15,2.11,1.15,1.23,0.48,2.03,0.70,11,1,74,3,1.18,1.28,0.00,0.30,0.00,0.00,2.04,10,13,0,1,0,0,77,0.61
370,Catkin,4,3,C3,37,5.99,58.85,438.2,13.65,7.09,22.195,72,11,0.77,0.32,1.86,1.72,1.32,1.00,0.48,1.11,1.41,13,3,17,35,1.18,1.08,0.78,1.38,0.70,0.30,1.18,19,15,7,32,6,1,19,0.46
374,Catkin,3,1,C1,7,6.12,59.95,350.5,14.1,7.01,13.5,67,7,0.63,0.32,1.83,1.81,0.70,1.26,0.60,1.63,0.00,25,4,63,0,0.60,1.32,0.30,0.00,0.30,0.00,1.63,4,30,1,0,1,0,63,0.56
383,Leaf,3,2,L2,22,5.52,54.5,349.25,14.7,6.98,23.895,26,7,0.35,0.18,1.43,1.30,0.90,0.90,0.78,0.78,0.48,27,19,19,8,0.90,1.11,0.00,0.00,0.00,0.00,0.90,27,46,0,0,0,0,27,0.45
384,Leaf,4,1,L1,7,6.12,59.95,350.5,14.1,7.01,13.5,67,10,0.70,0.30,1.83,1.72,1.20,1.00,1.00,1.49,0.60,13,13,45,4,1.08,1.30,0.48,0.30,0.48,0.00,1.52,16,28,3,1,3,0,48,0.48
389,Leaf,1,2,L2,22,5.52,54.5,349.25,14.7,6.98,23.895,39,10,0.48,0.21,1.60,1.38,1.23,0.85,0.48,0.70,1.08,15,5,10,28,1.15,0.95,0.60,1.00,0.00,0.00,0.85,33,21,8,23,0,0,15,0.48
396,Leaf,3,1,L1,7,6.12,59.95,350.5,14.1,7.01,13.5,15,7,0.21,0.11,1.20,1.08,0.70,0.30,0.90,0.48,0.30,7,47,13,7,0.60,0.95,0.30,0.00,0.00,0.00,0.60,20,53,7,0,0,0,20,0.49
406,Catkin,1,3,C3,37,5.99,58.85,438.2,13.65,7.09,22.195,199,11,1.14,0.48,2.30,1.78,2.15,0.48,0.48,0.95,1.65,1,1,4,22,2.13,0.70,0.85,1.60,0.70,0.00,1.15,67,2,3,20,2,0,7,0.46
454,Leaf,3,3,L3,37,5.99,58.85,438.2,13.65,7.09,22.195,32,10,0.38,0.17,1.52,1.36,1.04,0.78,0.78,0.78,0.90,16,16,16,22,0.60,1.04,0.85,0.78,0.00,0.30,0.90,9,31,19,16,0,3,22,0.48
460,Leaf,4,3,L3,37,5.99,58.85,438.2,13.65,7.09,22.195,43,10,0.45,0.19,1.64,1.54,1.00,0.70,0.30,0.95,1.32,9,2,19,47,0.30,0.78,0.78,1.28,0.30,0.60,1.04,2,12,12,42,2,7,23,0.45
477,Catkin,3,3,C3,37,5.99,58.85,438.2,13.65,7.09,22.195,56,9,0.54,0.25,1.76,1.43,1.49,0.70,0.85,0.60,1.15,7,11,5,23,1.43,1.04,0.48,0.90,0.00,0.48,1.00,46,18,4,13,0,4,16,0.48
478,Leaf,5,2,L2,22,5.52,54.5,349.25,14.7,6.98,23.895,25,5,0.26,0.16,1.41,0.95,1.26,0.48,0.78,0.30,0.00,8,20,4,0,1.20,0.90,0.48,0.00,0.00,0.00,0.30,60,28,8,0,0,0,4,0.49
